Bigram,Frequency
water r2000,7
water tap,7
welkom south,7
well standard,7
will only,7
za_x000d_ _x000d_,7
00 other,6
00 parts,6
00 pipe,6
00 resultant,6
00 solar,6
00_x000d_ 150,6
00_x000d_ 200,6
00_x000d_ 200l,6
0127403300 broker,6
2 geysers,6
24 7,6
27121104420 broker,6
27570500081 broker,6
33_x000d_ 50,6
600 quote,6
_x000d_ 100,6
_x000d_ 28,6
_x000d_ called,6
_x000d_ leaking,6
_x000d_ thank,6
a pipe,6
advised possible,6
all schedules,6
also leaking,6
and a,6
and she,6
appointed assist,6
are clients,6
are sure,6
area client,6
as he,6
as the,6
asked be,6
assist the,6
assistance visible,6
assistance water,6
bathroom ceiling,6
batteries mandate,6
be logged,6
been updated,6
block drain,6
blocked kitchen,6
bloemfontein south,6
brakpan south,6
broken tap,6
broker _x000d_,6
brokers office,6
burst geyser_x000d_,6
burst if,6
called advising,6
called out,6
called requested,6
called requesting,6
called saying,6
called the,6
can please,6
clc cec,6
client already,6
client said,6
coming client,6
coming from,6
component cover,6
copper pipes,6
corporate then,6
cost except,6
cost repairs,6
damage r,6
does not,6
done clients,6
dont cover,6
drain needs,6
drain we,6
estate manager,6
estate pretoria,6
estimated excess,6
except where,6
excess 10,6
excess_x000d_ geyser,6
faulty tap,6
first if,6
flushing mechanism,6
for clients,6
forward quote_x000d_,6
from the,6
geyser claims,6
geyser faulty,6
geyser might,6
geyser overflowing,6
geyser r,6
geyser trips,6
going out,6
good day_x000d_,6
have been,6
include cover,6
increased body,6
invoice r1720,6
is coming,6
kind regards,6
leaking basin,6
leaking ceiling,6
leaking non,6
leaking pipes,6
liable for,6
limit was,6
limits excess,6
limits yet,6
litre r7,6
location 28,6
location 4,6
longbeachvillage co,6
low pressure,6
making noise,6
mandate values,6
might have,6
min excess,6
mr pillay,6
mrs kruger,6
need to,6
needed clients,6
needs to,6
no pressure,6
not all,6
note _x000d_,6
note client,6
of taps,6
only covered,6
other plumbing,6
out 1,6
out _x000d_,6
out client,6
out labor,6
owner advised,6
owner called,6
parts send,6
pipe claims,6
pipe garden,6
pipe leak,6
pipe paving,6
pipe sink,6
plumbing claims,6
power the,6
provide report,6
quote _x000d_,6
r1500 geyser,6
r250 excess,6
r600 damage,6
r600 drain,6
r600 no,6
r900 _x000d_,6
r900 excess,6
randpark ridge,6
related case,6
repair cover,6
repairs r250,6
replace geyser,6
reported pipe,6
request a,6
requested be,6
requested supreme,6
review date,6
ridge randburg,6
roodepoort 1724,6
said need,6
schedules been,6
send invoice,6
send the,6
she advised,6
solar panels,6
solar system,6
someone out,6
sp assist,6
sp please,6
still leaking,6
tap cover,6
tap mixer,6
teh clients,6
that is,6
the owner,6
the toilet,6
this call,6
tisetso ambiton,6
toilet drain,6
toilet faulty,6
toilet system,6
two leaking,6
unit 11,6
unit 14,6
unit 16,6
unit 22,6
unit 41,6
unit 5,6
unit 9,6
up call,6
up needs,6
updated new,6
vacuum breaker,6
values geyser,6
valve client,6
valve was,6
visible covered,6
was heating,6
water streaming,6
water supply,6
where geyser,6
working client,6
yet please,6
0114892000 thoko,5
0120010900 client,5
05 2023,5
101 305,5
11_x000d_ 50,5
200 r10120,5
200l r10120,5
250 00_x000d_,5
27113916554 broker,5
27415817170 tisetso,5
50 r280,5
_x000d_ email,5
_x000d_ not,5
account _x000d_,5
advised burst,5
advised concealed,5
advised have,5
advised leak,5
advised need,5
appoint supreme,5
assist blocked,5
assist geyser,5
assistance burst,5
assistance leak,5
assistance regarding,5
assisted tomorrow,5
assitance the,5
basin client,5
basin kitchen,5
bathroom cover,5
bathroom covered,5
bathroom tap,5
bathroom wall,5
be reimbursed,5
bianca called,5
blocked drains,5
blocked pipe,5
brenda kp,5
broker amanda,5
broker anton,5
broker sorita,5
burst send,5
burst then,5
burst unit,5
call related,5
called burst,5
callout 1hour,5
callout fee,5
can provide,5
care taker,5
claims advised,5
clienst own,5
client _x000d_,5
client also,5
client broker,5
client contact,5
client doesnt,5
client might,5
client report,5
client s,5
client sure,5
client water,5
clients tap,5
coming taps,5
concealed please,5
concealed quote,5
confirm leak,5
copper pipe,5
cornel called,5
cornel psg,5
cover minus,5
cover no,5
covered any,5
covered up,5
day_x000d_ _x000d_,5
de wet,5
detection quote,5
drain fee,5
drq needed,5
drq required,5
du toit,5
edenvale south,5
electric geyser,5
electricity covered,5
estate centurion,5
excess r2,5
excess_x000d_ 50,5
excesses_x000d_ r,5
faerie glen,5
faulty pool,5
fee any,5
felix ref,5
felix wo,5
first liable,5
flushing properly,5
for parts,5
funny noise,5
garsfontein pretoria,5
geyser 0114892000,5
geyser 2,5
geyser 6,5
geyser have,5
geyser maintenance,5
geyser overflow,5
geyser sp,5
geyser still,5
geyser valve,5
glen pretoria,5
gobeni kingprice,5
golf estate,5
have burst,5
he said,5
heat pumps,5
his geyser,5
hot client,5
hundred fifty,5
if issue,5
imbursement client,5
in teh,5
is burst,5
issue geyser,5
issue related,5
kingprice co,5
kitchen drain,5
leak at,5
leak covered,5
leak pipe,5
leak shower,5
leak sink,5
leak tiles,5
leaking and,5
leaking possibly,5
leaking sink,5
leaking toilets,5
liable any,5
limit r1,5
location 17,5
location 8,5
main switch,5
manager longbeachvillage,5
months ago,5
mrs naidoo,5
must contact,5
needed leak,5
needs leak,5
needs sp,5
non heating,5
now client,5
o psg,5
only drain,5
other one,5
out an,5
out assist,5
out labour,5
out shower,5
overflowing client,5
own plumbers,5
park roodepoort,5
park south,5
parts call,5
parts cost,5
parts needs,5
parts r1000,5
pay_x000d_ _x000d_,5
pipe connected,5
pipes client,5
plumber be,5
plumber come,5
policy no,5
posisble burst,5
possible comeback,5
possible leak,5
proof payment,5
psg advised,5
r 1000,5
r 2000,5
r 500,5
r2000 cove,5
